"abbreviation","fraction_democratic","fraction_republican","partisanship","variance","population","alpha","beta"
"ME",0.551234190914912,0.448765809085088,0.226349709332511,0.000164237256837462,2915708,829.720522019442,675.484565073198
"AR",0.411304597172388,0.588695402827612,0.297817734239605,0.000174723103133737,2080417,569.578974555581,815.23163674218
"FL",0.497429575427575,0.502570424572425,0.0506993547535355,0.000215815115590906,7844974,575.709302479637,581.659101973249
"MO",0.460007063558373,0.539992936441626,0.199982340324406,0.000298323501385919,1171866,382.567226426168,449.087820694122
"SC",0.431797347821605,0.568202652178395,0.261156374952622,0.000323650316640531,1759373,326.899192663212,430.167126795506
"US",0.511580117841541,0.488419882158459,0.107610955954963,0.000340454055744817,121531886,374.947028756388,357.972466658676
"MN",0.526099561954373,0.473900438045627,0.161553588491166,0.000356698001565051,2695091,367.198212496954,330.765086652017
"KS",0.392757841697241,0.607242158302759,0.327478485251717,0.00036536553505501,1127772,255.987184907555,395.78137298628
"NM",0.534484979485969,0.465515020514031,0.185701317943544,0.000388771628608965,7139493,341.531736659365,297.460445832875
"PA",0.521985725647503,0.478014274352497,0.148275843101644,0.000424623013776816,5599833,306.206835508134,280.412367868767
"DC",0.925383158005204,0.0746168419947964,0.652214043091073,0.000474740603968741,252279,133.667924806002,10.7781001553351
"NH",0.515843619931334,0.484156380068666,0.125871442080138,0.000482836272052863,3567193,266.306292835101,249.947650870125
"NE",0.371374086149503,0.628625913850497,0.358644550844561,0.000503577599324588,661362,171.795300587085,290.798349823875
"CT",0.583526137706727,0.416473862293273,0.289008888629272,0.000518152273490044,1533277,273.101433585712,194.917792265046
"GA",0.452831712945032,0.547168287054968,0.217182612229819,0.000600030135654917,3505763,186.538526000608,225.39934407476
"LA",0.420708271501804,0.579291728498196,0.281587869941508,0.000607739188532925,1898828,168.28983208565,231.725646776188
"AK",0.384142076691598,0.615857923308402,0.340379087648466,0.000644226285531258,1936712,140.683003459075,225.54346184914
"OH",0.49340703267268,0.50659296732732,0.0811970894017736,0.000705203020240237,5296103,174.392835341156,179.053377098383
"WA",0.563517129931308,0.436482870068692,0.252026050104563,0.000806167280105543,2832441,171.368300549588,132.736580295355
"ID",0.324145236062981,0.675854763937019,0.419350407102484,0.000857484199704416,5137588,82.4903703813528,171.995490835635
"OK",0.343253578018174,0.656746421981826,0.395912139220088,0.000887469881695764,1369883,86.848270709066,166.166615978404
"TX",0.417752956820616,0.582247043179384,0.286787452967147,0.000896795643918513,7608370,112.888256756051,157.339022894965
"RI",0.625505347792503,0.374494652207497,0.354267339438034,0.000908318777975795,428157,160.687491878308,96.2048028445471
"IA",0.505141363594505,0.494858636405495,0.0717033025355543,0.000908683018914038,587575,138.456407451782,135.637949993048
"NV",0.515827110967988,0.484172889032012,0.125805846318793,0.000938852930613254,3929546,136.702220381381,128.3133640681
"MA",0.634332473851336,0.365667526148664,0.366513947690039,0.000989904356808069,687543,148.002702683905,85.3176816317419
"WV",0.395538243407683,0.604461756592317,0.323205440226982,0.00101089736879223,2840853,93.1533534008153,142.357030680457
"KY",0.393635528162981,0.606364471837019,0.326135664773142,0.00101986607688035,1738479,91.7317096152676,141.305477364229
"WY",0.29055402838148,0.70944597161852,0.457652675747143,0.00105797038612576,233060,56.32027890142,137.517282795958
"MI",0.53482923276014,0.46517076723986,0.186625916635767,0.00106008904407042,4613182,124.981531261749,108.703412009391
"MD",0.610608943145305,0.389391056854695,0.332579228373187,0.00110639101956614,2435783,130.610482896752,83.2915465311716
"OR",0.546370490122019,0.453629509877981,0.215338083306273,0.00112508562317666,1705770,119.815854771323,99.4782959401871
"DE",0.577310572086456,0.422689427913544,0.278047787415142,0.00115534126511449,385160,121.35817773279,88.8547955484732
"ND",0.374054909921066,0.625945090078934,0.354887432968448,0.00116836217916412,878051,74.585921770698,124.812406578157
"NJ",0.571435233774396,0.428564766225604,0.267273705729531,0.00122800939144517,719270,113.387605460811,85.0384023539175
"NC",0.469044427219999,0.530955572780001,0.175941958554522,0.00130797353671379,755336,88.8382990533413,100.564450565546
"MS",0.419872846473077,0.580127153526923,0.283067401031844,0.00138264256568699,2655097,73.5489619771866,101.620665531875
"VT",0.636148439851147,0.363851560148853,0.368982980435612,0.00140640697979705,3411255,104.059865755964,59.5181071760816
"IN",0.433552021082605,0.566447978917395,0.257775054878077,0.00141815239187725,1457175,74.6456298575404,97.5266351938039
"CO",0.506259997362741,0.493740002637259,0.0791201451132479,0.00148062033371735,2227385,84.9614057382207,82.8602782546302
"SD",0.395971864349581,0.604028135650419,0.322533929456141,0.00178607228536575,353228,52.6297808874854,80.2831376491214
"AL",0.386028023690831,0.613971976309169,0.337597358267462,0.00179444776561284,286582,50.6004895304102,80.4793532022678
"TN",0.41848960277234,0.58151039722766,0.285500257841671,0.00185732491541071,2369559,54.4141236846042,75.6109084418912
"IL",0.583440966385562,0.416559033614438,0.288861500351919,0.00204087471942908,2495959,68.8956407392978,49.1893768362545
"CA",0.603047583499012,0.396952416500988,0.321010254507566,0.00211988101886684,12380408,67.4942906004425,44.4277046126095
"MT",0.413060524761641,0.586939475238359,0.294855007144799,0.00232741919108566,443645,42.614434010434,60.5531020053168
"AZ",0.461250182916026,0.538749817083974,0.196849732242577,0.00235300942100491,1021281,48.2508208805159,56.3579595178794
"UT",0.306783693864351,0.693216306135649,0.439563767996919,0.00303115261810432,873022,21.2173423642203,47.9432498191986
"VA",0.499390808705367,0.500609191294633,0.0246818008790529,0.00324143122101128,291632,38.0167790523076,38.1095313489004
"NY",0.624051335512632,0.375948664487368,0.352209221220331,0.00328680533213961,302252,43.9205620175675,26.4591680103445
"WI",0.520941886383106,0.479058113616894,0.144713117522587,0.0057380568184045,683541,22.1360330302634,20.356292947477
"HI",0.65274131222685,0.34725868777315,0.390821330312011,0.00633620532373617,407776,22.6982906907843,12.0755020672108
