"year","abbreviation","state","democratic","republican","total","fraction_democratic","fraction_republican","electoral_votes"
2000,"AK","Alaska",79004,167398,246402,0.320630514362708,0.679369485637292,3
2000,"AL","Alabama",692611,941173,1633784,0.423930580786689,0.576069419213311,9
2000,"AR","Arkansas",422768,472940,895708,0.471993104895792,0.528006895104208,6
2000,"AZ","Arizona",685341,781652,1466993,0.467174008328601,0.532825991671399,10
2000,"CA","California",5861203,4567429,10428632,0.562029899990718,0.437970100009282,55
2000,"CO","Colorado",738227,883748,1621975,0.45514080056721,0.54485919943279,9
2000,"CT","Connecticut",816015,561094,1377109,0.592556580488545,0.407443419511455,7
2000,"DC","D.C.",171923,18073,189996,0.904876944777785,0.0951230552222152,3
2000,"DE","Delaware",180068,137288,317356,0.567400647852884,0.432599352147116,3
2000,"FL","Florida",2912253,2912790,5825043,0.499953905919664,0.500046094080336,27
2000,"GA","Georgia",1116230,1419720,2535950,0.440162463770973,0.559837536229027,15
2000,"HI","Hawaii",205286,137845,343131,0.598272962804293,0.401727037195707,4
2000,"IA","Iowa",638517,634373,1272890,0.501627791875182,0.498372208124818,7
2000,"ID","Idaho",138637,336937,475574,0.29151509544256,0.70848490455744,4
2000,"IL","Illinois",2589026,2019421,4608447,0.561800103158396,0.438199896841604,21
2000,"IN","Indiana",901980,1245836,2147816,0.419952174674181,0.580047825325819,11
2000,"KS","Kansas",399276,622332,1021608,0.390830925364719,0.609169074635281,6
2000,"KY","Kentucky",638898,872492,1511390,0.422722129959838,0.577277870040162,8
2000,"LA","Louisiana",792344,927871,1720215,0.460607540336528,0.539392459663472,9
2000,"MA","Massachusetts",1616487,878502,2494989,0.647893437606338,0.352106562393662,12
2000,"MD","Maryland",1145782,813797,1959579,0.584708246005902,0.415291753994098,10
2000,"ME","Maine",319951,286616,606567,0.527478415410004,0.472521584589996,4
2000,"MI","Michigan",2170418,1953139,4123557,0.526346064817341,0.473653935182659,17
2000,"MN","Minnesota",1168266,1109659,2277925,0.512864119758113,0.487135880241887,10
2000,"MO","Missouri",1111138,1189924,2301062,0.482880513432493,0.517119486567507,11
2000,"MS","Mississippi",404614,572844,977458,0.413945151607537,0.586054848392463,6
2000,"MT","Montana",137126,240178,377304,0.363436380213303,0.636563619786697,3
2000,"NC","North Carolina",1257692,1631163,2888855,0.435360030184969,0.564639969815031,15
2000,"ND","North Dakota",95284,174852,270136,0.352726034293837,0.647273965706163,3
2000,"NE","Nebraska",231780,433862,665642,0.34820519137915,0.65179480862085,5
2000,"NH","New Hampshire",266348,273559,539907,0.493321998047812,0.506678001952188,4
2000,"NJ","New Jersey",1788850,1284173,3073023,0.582114094167209,0.417885905832791,15
2000,"NM","New Mexico",286783,286417,573200,0.500319260293091,0.499680739706909,5
2000,"NV","Nevada",279978,301575,581553,0.481431615003276,0.518568384996724,5
2000,"NY","New York",4107697,2403374,6511071,0.630878852342418,0.369121147657582,31
2000,"OH","Ohio",2186190,2351209,4537399,0.481815683390418,0.518184316609582,20
2000,"OK","Oklahoma",474276,744337,1218613,0.389193287778811,0.610806712221189,7
2000,"OR","Oregon",720342,713577,1433919,0.502358919855306,0.497641080144694,7
2000,"PA","Pennsylvania",2485967,2281127,4767094,0.521484787168031,0.478515212831969,21
2000,"RI","Rhode Island",249508,130555,380063,0.656491160675993,0.343508839324007,4
2000,"SC","South Carolina",565561,785937,1351498,0.418469727665154,0.581530272334846,8
2000,"SD","South Dakota",118804,190700,309504,0.383852874276261,0.616147125723739,3
2000,"TN","Tennessee",981720,1061949,2043669,0.48037133214821,0.51962866785179,11
2000,"TX","Texas",2433746,3799639,6233385,0.390437298514371,0.609562701485629,34
2000,"UT","Utah",203053,515096,718149,0.282744945686759,0.717255054313241,5
2000,"VA","Virginia",1217290,1437490,2654780,0.458527636941667,0.541472363058332,13
2000,"VT","Vermont",149022,119775,268797,0.554403508967734,0.445596491032266,3
2000,"WA","Washington",1247652,1108864,2356516,0.529447710094054,0.470552289905946,11
2000,"WI","Wisconsin",1242987,1237279,2480266,0.501150683031578,0.498849316968422,10
2000,"WV","West Virginia",295497,336475,631972,0.467579259840626,0.532420740159374,5
2000,"WY","Wyoming",60481,147947,208428,0.29017694359683,0.70982305640317,3
2000,"US","United States",50999897,50456002,101455899,0.502680450350157,0.497319549649843,538
2004,"AK","Alaska",111025,190889,301914,0.367737170187537,0.632262829812463,3
2004,"AL","Alabama",693933,1176394,1870327,0.371022286477177,0.628977713522823,9
2004,"AR","Arkansas",469953,572898,1042851,0.450642517483322,0.549357482516678,6
2004,"AZ","Arizona",893524,1104294,1997818,0.447249949695117,0.552750050304883,10
2004,"CA","California",6745485,5509826,12255311,0.550413204528225,0.449586795471775,55
2004,"CO","Colorado",1001732,1101255,2102987,0.476337704417574,0.523662295582426,9
2004,"CT","Connecticut",857488,693826,1551314,0.552749475605841,0.447250524394159,7
